"nofish","livebait","camper","persons","child","xb","zg","count"
1,0,0,1,0,-0.8963145613670349,3.0504047870635986,0
0,1,1,1,0,-0.5583449602127075,1.746148943901062,0
0,1,0,1,0,-0.401731014251709,0.27993887662887573,0
0,1,1,2,1,-0.9562981128692627,-0.6015256643295288,0
0,1,0,1,0,0.43689095973968506,0.5277091264724731,1
0,1,1,4,2,1.3944854736328125,-0.7075347900390625,0
0,1,0,3,1,0.18471674621105194,-3.398022174835205,0
0,1,0,4,3,2.329106569290161,-5.450901508331299,0
1,0,1,3,2,0.1883864849805832,-1.527417778968811,0
0,1,1,1,0,0.2876899242401123,1.3938905000686646,1
0,1,0,4,1,1.990952730178833,-1.9331899881362915,0
0,1,1,3,2,1.317893147468567,-2.471574544906616,0
1,0,0,3,0,0.2980416715145111,1.5912652015686035,1
0,1,0,3,0,1.290873408317566,0.8295348882675171,2
0,1,1,1,0,-0.0608898401260376,2.8205792903900146,0
1,1,1,1,0,0.37004920840263367,2.1583449840545654,1
0,1,0,4,1,1.9790934324264526,-3.0699527263641357,0
1,1,1,3,2,0.7153370976448059,-1.9528049230575562,0
0,1,1,2,1,1.5160530805587769,-0.18656735122203827,1
0,1,0,3,1,-0.034895967692136765,-0.11892249435186386,0
0,1,0,4,1,1.1782302856445312,0.0018565660575404763,1
0,1,1,4,0,1.6421117782592773,1.8928213119506836,5
0,1,1,2,1,0.597727358341217,-0.2942781448364258,0
0,1,1,2,0,1.1397230625152588,1.931791067123413,3
0,1,1,3,0,3.5002975463867188,1.4512708187103271,30
0,1,1,2,0,-0.7899783849716187,2.817448616027832,0
0,1,1,4,0,2.66235613822937,1.6565625667572021,13
0,1,0,2,1,1.6061724424362183,-1.064542531967163,0
0,1,0,1,0,0.01855017989873886,0.08079826831817627,0
0,1,0,4,3,3.0345590114593506,-4.824044704437256,0
0,1,0,1,0,0.05100075528025627,0.9218238592147827,0
0,1,1,3,1,0.7452588081359863,-0.6638671159744263,0
0,1,1,4,0,2.453136682510376,3.5083677768707275,11
0,1,1,4,1,2.3527066707611084,0.17660972476005554,5
0,1,1,1,0,-1.108257532119751,0.7720884084701538,0
1,0,0,2,0,0.5154194235801697,1.6566575765609741,1
1,1,1,2,1,1.9827685356140137,-0.64223712682724,1
1,1,1,4,1,2.0668559074401855,1.2445074319839478,7
1,1,1,3,1,0.09501177072525024,-2.2686607837677,0
0,1,1,4,1,5.3526740074157715,-1.4729925394058228,14
0,1,1,1,0,-0.7118139266967773,3.0204780101776123,0
0,1,1,4,0,3.484046220779419,2.3556528091430664,32
1,0,0,3,2,2.4009063243865967,-3.0864737033843994,0
1,0,1,4,0,0.37602847814559937,2.6760778427124023,1
1,1,0,4,2,1.0850564241409302,-2.6547904014587402,0
0,1,1,1,0,-1.0671987533569336,2.133044958114624,0
0,1,1,2,1,0.3229970633983612,0.3034364879131317,0
0,1,0,1,0,0.5010663270950317,1.55316162109375,1
0,1,1,2,1,2.011488437652588,0.627036452293396,5
0,1,0,2,1,0.9571473598480225,-2.0581746101379395,0
0,1,1,2,1,1.114434003829956,0.28473207354545593,1
0,1,1,2,1,-0.6738300323486328,-0.7081019878387451,0
0,1,1,4,0,3.1967058181762695,1.5154833793640137,22
1,0,0,2,0,-0.3863207995891571,2.079587936401367,0
0,1,1,3,0,2.7185115814208984,2.6293129920959473,15
1,0,1,1,0,-1.269290566444397,4.179599761962891,0
0,1,1,1,0,-1.087805986404419,2.122612953186035,0
0,1,1,1,0,-0.9845783114433289,1.3515208959579468,0
1,1,1,4,1,1.8724677562713623,1.2611768245697021,5
1,1,1,1,0,1.5479555130004883,1.6289883852005005,4
0,1,0,2,0,1.0040942430496216,1.0836246013641357,2
0,1,1,2,1,-0.16520261764526367,2.095250368118286,0
0,1,0,2,1,1.4716452360153198,-0.07347089797258377,2
0,1,1,4,0,3.4893360137939453,2.54799747467041,32
0,1,0,4,3,1.8857758045196533,-4.232519626617432,0
0,1,1,1,0,-2.2725300788879395,1.6007531881332397,0
0,1,0,1,0,0.6138409972190857,1.1117559671401978,1
1,1,0,3,2,2.878997564315796,-2.7660670280456543,0
1,1,1,1,0,-0.9448488354682922,2.0116078853607178,0
0,1,1,2,1,0.8200352191925049,-1.2854379415512085,0
0,1,1,3,0,2.088183641433716,2.2687482833862305,7
0,1,0,4,3,2.165306329727173,-5.035178184509277,0
1,0,0,4,2,0.5575263500213623,-2.6966516971588135,0
0,1,1,3,2,-0.6276955008506775,-3.224311590194702,0
1,0,1,1,0,-3.275050163269043,0.9133918285369873,0
0,1,0,2,0,0.3073975741863251,-0.4314827620983124,0
0,1,0,3,2,0.45930373668670654,-3.140106678009033,0
1,1,1,1,0,-0.18809916079044342,3.2674453258514404,0
0,1,0,2,1,-0.19742321968078613,-0.23833191394805908,0
0,1,0,4,0,0.9011332392692566,1.393922209739685,2
0,1,1,4,1,2.2297375202178955,-0.4101121127605438,3
1,1,0,2,1,1.1500788927078247,-0.3204764425754547,1
0,1,1,3,0,1.7165309190750122,2.654059886932373,5
0,1,0,1,0,-0.4657383859157562,0.24608252942562103,0
0,1,1,1,0,1.0195733308792114,1.7188441753387451,2
1,0,0,3,1,1.8674137592315674,-0.5484791398048401,1
1,0,0,4,1,0.7143785357475281,-2.5506811141967773,0
1,1,1,1,0,0.04400812089443207,2.2629549503326416,1
0,1,1,4,0,5.005039691925049,3.572134256362915,149
0,1,1,3,2,2.4615564346313477,-2.7698724269866943,0
0,1,1,3,1,1.570416808128357,-0.3906162679195404,1
0,1,0,2,0,-1.4908524751663208,0.08899945765733719,0
0,1,1,3,0,-0.8651333451271057,0.9720797538757324,0
0,1,0,2,1,0.8338031768798828,0.023357685655355453,1
0,1,0,4,2,2.2084999084472656,-1.7343733310699463,0
0,1,1,3,1,1.63320791721344,-1.5012526512145996,0
0,1,0,4,2,1.5240097045898438,-4.32427978515625,0
1,0,0,4,0,2.4913747310638428,-0.7220575213432312,2
0,1,1,2,0,1.0847690105438232,2.9630026817321777,2
0,1,0,4,0,3.594677209854126,0.8602088689804077,29
0,1,1,1,0,1.12883460521698,2.0607004165649414,3
1,0,1,2,0,-0.38593992590904236,2.2662763595581055,0
0,1,0,4,2,2.2135095596313477,-2.0680947303771973,0
1,0,0,3,0,2.518778085708618,-0.11092140525579453,5
0,1,1,2,0,0.01158948428928852,-0.33921802043914795,0
0,1,0,4,1,3.2988061904907227,-2.6714301109313965,0
0,1,1,1,0,-0.2583029568195343,0.714798092842102,0
0,1,0,3,1,0.9311610460281372,-1.9252318143844604,0
0,1,1,4,1,3.2343406677246094,-1.934120535850525,0
0,1,1,4,1,0.5665621161460876,1.3611514568328857,1
