CCS,cement,water
79.99,540.0,162.0
61.89,540.0,162.0
40.27,332.5,228.0
41.05,332.5,228.0
44.30,198.6,192.0
47.03,266.0,228.0
43.70,380.0,228.0
36.45,380.0,228.0
45.85,266.0,228.0
39.29,475.0,228.0
38.07,198.6,192.0
28.02,198.6,192.0
43.01,427.5,228.0
42.33,190.0,228.0
47.81,304.0,228.0
52.91,380.0,228.0
39.36,139.6,192.0
56.14,342.0,228.0
40.56,380.0,228.0
42.62,475.0,228.0
41.84,427.5,228.0
28.24,139.6,192.0
8.06,139.6,192.0
44.21,139.6,192.0
52.52,380.0,228.0
53.30,380.0,228.0
41.15,380.0,228.0
52.12,342.0,228.0
37.43,427.5,228.0
38.60,475.0,228.0
55.26,304.0,228.0
52.91,266.0,228.0
41.72,198.6,192.0
42.13,475.0,228.0
53.69,190.0,228.0
38.41,237.5,228.0
30.08,237.5,228.0
37.72,332.5,228.0
42.23,475.0,228.0
36.25,237.5,228.0
50.46,342.0,228.0
43.70,427.5,228.0
39.00,237.5,228.0
53.10,380.0,228.0
41.54,427.5,228.0
35.08,427.5,228.0
15.05,349.0,192.0
40.76,380.0,228.0
26.26,237.5,228.0
32.82,380.0,228.0
39.78,332.5,228.0
46.93,190.0,228.0
33.12,237.5,228.0
49.19,304.0,228.0
14.59,139.6,192.0
14.64,198.6,192.0
41.93,475.0,228.0
9.13,198.6,192.0
50.95,304.0,228.0
33.02,332.5,228.0
54.38,304.0,228.0
51.73,266.0,228.0
9.87,310.0,192.0
50.66,190.0,228.0
48.70,266.0,228.0
55.06,342.0,228.0
44.70,139.6,192.0
30.28,332.5,228.0
40.86,190.0,228.0
71.99,485.0,146.0
34.40,374.0,170.1
28.80,313.3,175.5
33.40,425.0,153.5
36.30,425.0,151.4
29.00,375.0,126.6
37.80,475.0,181.1
40.20,469.0,137.8
33.40,425.0,153.5
28.10,388.6,157.9
41.30,531.3,141.8
33.40,425.0,153.5
25.20,318.8,155.7
41.10,401.8,147.4
35.30,362.6,164.9
28.30,323.7,183.8
28.60,379.5,153.9
35.30,362.6,164.9
24.40,286.3,144.7
35.30,362.6,164.9
39.30,439.0,186.0
40.60,389.9,145.9
35.30,362.6,164.9
24.10,337.9,174.9
46.20,374.0,170.1
42.80,313.3,175.5
49.20,425.0,153.5
46.80,425.0,151.4
45.70,375.0,126.6
55.60,475.0,181.1
54.90,469.0,137.8
49.20,425.0,153.5
34.90,388.6,157.9
46.90,531.3,141.8
49.20,425.0,153.5
33.40,318.8,155.7
54.10,401.8,147.4
55.90,362.6,164.9
49.80,323.7,183.8
47.10,379.5,153.9
55.90,362.6,164.9
38.00,286.3,144.7
55.90,362.6,164.9
56.10,439.0,186.0
59.09,389.9,145.9
22.90,362.6,164.9
35.10,337.9,174.9
61.09,374.0,170.1
59.80,313.3,175.5
60.29,425.0,153.5
61.80,425.0,151.4
56.70,375.0,126.6
68.30,475.0,181.1
66.90,469.0,137.8
60.29,425.0,153.5
50.70,388.6,157.9
56.40,531.3,141.8
60.29,425.0,153.5
55.50,318.8,155.7
68.50,401.8,147.4
71.30,362.6,164.9
74.70,323.7,183.8
52.20,379.5,153.9
71.30,362.6,164.9
67.70,286.3,144.7
71.30,362.6,164.9
66.00,439.0,186.0
74.50,389.9,145.9
